# task_id	tier	checks	status	attempt	worker	reason
LT1	2	tests,a11y	accepted	1	worker-coder	gate-check-exit0; tests+a11y PASS at attempt 1
LT5	2	tests,a11y,second	accepted	1	worker-coder	gate-check-exit0; tests+a11y+second PASS at attempt 1
LT2	2	a11y,second	accepted	1	worker-coder	gate-check-exit0; a11y+second PASS at attempt 1
LT6	2	tests,a11y	accepted	1	worker-coder	gate-check-exit0; tests+a11y PASS at attempt 1
RF1	2	a11y,second	accepted	2	worker-coder	attempt1 second-lane FAIL conceded (ruling c); attempt2 a11y+second PASS; gate-check-exit0
RF2	2	tests,a11y,second	accepted	1	worker-coder	gate-check-exit0; tests+a11y+second PASS at attempt 1
RF3	2	tests,a11y,second	accepted	1	worker-coder	gate-check-exit0; tests+a11y+second PASS at attempt 1
RF4	1	a11y	accepted	1	worker-coder	gate-check-exit0; a11y PASS at attempt 1
RF5	1	tests	accepted	1	lead	gate-check-exit0; tests PASS at attempt 1
RF6	1	tests	accepted	1	lead	gate-check-exit0; tests PASS at attempt 1
RF7	1	tests	accepted	1	lead	gate-check-exit0; tests PASS at attempt 1
